Source,Earthquake ID,Version,Datetime,Magnitude,Depth,Number of Stations,Region,Location
nc,nc72217386,,05/07/2014 12:03:02 PM,0.39,2.34,7,"6km WNW of Cobb, California",
nc,nc72217401,,05/07/2014 01:18:33 AM,0.6,3.6,8,"6km W of Cobb, California",
nc,nc72217416,,05/07/2014 01:43:27 AM,0.6,3.3,8,"5km NW of The Geysers, California",
nc,nc72217421,,05/07/2014 02:06:52 AM,0.5,0.7,10,"2km NE of The Geysers, California",
nc,nc72217431,,05/07/2014 02:14:39 AM,0.3,7.4,15,"2km ESE of Mammoth Lakes, California",
nc,nc72217436,,05/07/2014 02:17:19 AM,0.6,2.5,7,"6km NW of The Geysers, California",
nc,nc72217441,,05/07/2014 02:37:43 AM,0.18,2.41,20,"6km W of Cobb, California",
nc,nc72217446,,05/07/2014 03:31:58 AM,0.8,12.7,15,"13km NNW of Mammoth Lakes, California",
nc,nc72217456,,05/07/2014 03:44:04 AM,0.8,2.4,13,"4km WNW of Cobb, California",
nc,nc72217461,,05/07/2014 03:59:29 AM,0.9,3.1,13,"6km W of Cobb, California",
nc,nc72217466,,05/07/2014 04:13:01 AM,0.7,3,19,"5km NW of The Geysers, California",
nc,nc72217471,,05/07/2014 04:21:09 AM,1.6,25.8,14,"21km WSW of Hayfork, California",
nc,nc72217501,,05/07/2014 04:54:19 AM,1.3,4.7,11,"29km E of Shingletown, California",
nc,nc72217506,,05/07/2014 04:59:52 AM,1.3,5.1,11,"29km E of Shingletown, California",
nc,nc72217516,,05/07/2014 05:07:46 AM,0.4,2.6,5,"7km WNW of Cobb, California",
nc,nc72217521,,05/07/2014 05:17:20 AM,0.56,5.06,6,"29km E of Shingletown, California",
nc,nc72217531,,05/07/2014 05:24:38 AM,0.8,0.5,11,"13km NNW of Incline Village, Nevada",
nc,nc72217536,,05/07/2014 05:42:17 AM,1.6,5.4,34,"22km ENE of Soledad, California",
nc,nc72217541,,05/07/2014 06:04:15 AM,1.9,24.5,16,"14km ENE of Willows, California",
nc,nc72217556,,05/07/2014 06:41:54 AM,1.7,8.4,8,"4km SE of Palermo, California",
nc,nc72217571,,05/07/2014 07:21:42 AM,0.7,2.5,9,"3km W of Cobb, California",
nc,nc72217576,,05/07/2014 07:42:20 AM,0.3,7.2,15,"3km ESE of Mammoth Lakes, California",
nc,nc72217581,,05/07/2014 07:54:19 AM,1.2,6.6,31,"11km ESE of Mammoth Lakes, California",
nc,nc72217586,,05/07/2014 08:13:04 AM,1.57,7.48,28,"2km ESE of Mammoth Lakes, California",
nc,nc72217591,,05/07/2014 08:14:42 AM,2.6,2.9,79,"2km SSW of Cobb, California",
nc,nc72217596,,05/07/2014 08:17:44 AM,0.1,6.62,13,"1km ESE of Mammoth Lakes, California",
nc,nc72217611,,05/07/2014 08:49:24 AM,1.8,0,12,"2km SW of Quarry near Clayton, CA",
nc,nc72217616,,05/07/2014 08:53:45 AM,0.7,8.7,21,"14km SE of Mammoth Lakes, California",
nc,nc72217621,,05/07/2014 08:57:00 AM,1.9,8.1,8,"21km NNE of Soledad, California",
nc,nc72217626,,05/07/2014 09:23:28 AM,0.5,5.3,6,"13km SE of Mammoth Lakes, California",
nc,nc72217631,,05/07/2014 09:27:13 AM,0.9,2.4,17,"7km NW of The Geysers, California",
nc,nc72217636,,05/07/2014 09:36:42 AM,0.6,9.6,15,"6km S of San Juan Bautista, California",
nc,nc72217641,,05/07/2014 09:47:31 AM,0.3,2.8,20,"9km WNW of Cobb, California",
nc,nc72217646,,05/07/2014 10:05:35 AM,0.4,1.3,9,"7km WNW of Cobb, California",
nc,nc72217651,,05/07/2014 10:12:41 AM,1.6,7.4,36,"2km ESE of Mammoth Lakes, California",
nc,nc72217656,,05/07/2014 10:14:57 AM,0.3,6.7,12,"1km ESE of Mammoth Lakes, California",
nc,nc72217681,,05/07/2014 11:19:05 AM,1.04,3.31,7,"15km SE of Livermore, California",
nc,nc72217701,,05/08/2014 12:26:53 PM,0.2,2.4,12,"5km W of Mammoth Lakes, California",
nc,nc72217706,,05/08/2014 12:34:24 PM,0.2,1.5,8,"5km WNW of Cobb, California",
nc,nc72217711,,05/08/2014 12:50:52 PM,0.5,1.9,10,"3km NNW of The Geysers, California",
nc,nc72217716,,05/07/2014 11:43:34 AM,0.1,3,20,"7km W of Cobb, California",
nc,nc72217721,,05/08/2014 01:23:31 AM,0.4,2,7,"2km NE of The Geysers, California",
nc,nc72217741,,05/08/2014 03:12:03 AM,1.16,2.03,19,"1km NE of The Geysers, California",
nc,nc72217746,,05/08/2014 03:26:05 AM,1.8,19.9,12,"11km NNW of Shasta, California",
nc,nc72217756,,05/08/2014 03:41:09 AM,1.2,6.9,32,"18km SE of Mammoth Lakes, California",
nc,nc72217776,,05/08/2014 05:22:21 AM,0.9,2.3,16,"9km NW of The Geysers, California",
nc,nc72217801,,05/08/2014 05:57:08 AM,0.88,1.86,10,"1km N of The Geysers, California",
nc,nc72217806,,05/08/2014 06:06:31 AM,0.6,3.8,8,"6km NW of The Geysers, California",
nc,nc72217816,,05/08/2014 06:50:13 AM,0.96,11.15,10,"28km SE of Burney, California",
nc,nc72217821,,05/08/2014 06:53:20 AM,0.9,10.3,18,"28km NE of Soledad, California",
nc,nc72217826,,05/08/2014 06:53:51 AM,1.2,13.8,12,"27km SE of Burney, California",
nc,nc72217836,,05/08/2014 07:36:25 AM,0.3,4,23,"6km W of Cobb, California",
nc,nc72217841,,05/08/2014 07:47:26 AM,0.8,4.7,14,"7km ENE of San Simeon, California",
nc,nc72217846,,05/08/2014 07:48:27 AM,1,6.41,26,"11km ESE of Alum Rock, California",
nc,nc72217856,,05/08/2014 08:14:38 AM,0.8,3.4,13,"6km NW of The Geysers, California",
nc,nc72217861,,05/08/2014 08:15:58 AM,0.6,1.7,13,"7km NW of The Geysers, California",
nc,nc72217866,,05/08/2014 08:39:16 AM,1.1,9.2,19,"28km SSE of King City, California",
nc,nc72217871,,05/08/2014 08:52:04 AM,1.2,2,18,"0km NNE of The Geysers, California",
nc,nc72217876,,05/08/2014 08:52:19 AM,0.3,3.4,5,"3km W of Cobb, California",
nc,nc72217881,,05/08/2014 08:59:37 AM,0.6,2.2,8,"9km NW of The Geysers, California",
nc,nc72217886,,05/08/2014 09:11:00 AM,0.4,2.7,11,"6km WNW of The Geysers, California",
nc,nc72217891,,05/08/2014 09:38:04 AM,0.6,8.9,11,"8km N of Truckee, California",
nc,nc72217901,,05/08/2014 10:07:31 AM,0.6,2.8,7,"5km WNW of Cobb, California",
nc,nc72217916,,05/08/2014 11:03:56 AM,1.1,3,24,"7km WNW of The Geysers, California",
nc,nc72217921,,05/08/2014 11:36:28 AM,0.6,2.2,10,"9km NW of The Geysers, California",
nc,nc72217936,,05/08/2014 11:46:29 AM,0.2,6.4,15,"14km SE of Mammoth Lakes, California",
nc,nc72217946,,05/08/2014 12:26:28 PM,2.1,9.3,47,"32km SE of Bridgeport, California",
nc,nc72217951,,05/08/2014 01:38:00 AM,0.5,4.5,8,"1km NNW of The Geysers, California",
nc,nc72217956,,05/08/2014 01:38:26 AM,0.8,1.2,8,"4km NNW of The Geysers, California",
nc,nc72217961,,05/08/2014 02:07:59 AM,0.8,13.5,17,"12km SE of Ridgemark, California",
nc,nc72217966,,05/08/2014 02:14:18 AM,0.7,15.8,8,"25km SE of Mammoth Lakes, California",
nc,nc72217971,,05/08/2014 03:15:25 AM,0.9,2.5,20,"6km W of Cobb, California",
nc,nc72217976,,05/08/2014 03:31:43 AM,0.6,1.9,8,"9km WNW of The Geysers, California",
nc,nc72217981,,05/08/2014 03:47:19 AM,0.4,2.6,5,"9km W of Cobb, California",
nc,nc72217991,,05/08/2014 04:00:09 AM,1.7,8.6,19,"11km N of Brooktrails, California",
nc,nc72220441,,05/12/2014 09:18:24 AM,1.33,8.84,35,"20km SSE of Ridgemark, California",
nc,nc72220446,,05/12/2014 09:20:12 AM,1,5.2,26,"11km SSW of Lake Nacimiento, California",
nc,nc72220451,,05/12/2014 09:22:41 AM,1.1,7.1,12,"13km N of McCloud, California",
nc,nc72220456,,05/12/2014 09:24:18 AM,0.4,4.1,11,"8km NW of The Geysers, California",
nc,nc72220466,,05/12/2014 09:33:23 AM,0.4,3.4,11,"6km NW of The Geysers, California",
nc,nc72220471,,05/12/2014 06:27:35 AM,0.7,5.1,8,"14km N of McCloud, California",
nc,nc72220481,,05/12/2014 09:59:24 AM,0.4,1.8,9,"6km WNW of The Geysers, California",
nc,nc72220486,,05/12/2014 10:00:08 AM,0.6,2,14,"6km WNW of The Geysers, California",
nc,nc72220491,,05/12/2014 10:00:23 AM,0.83,2.11,13,"6km WNW of The Geysers, California",
nc,nc72220496,,05/12/2014 07:01:42 AM,0.78,6.92,7,"13km N of McCloud, California",
nc,nc72220506,,05/12/2014 07:20:14 AM,0.87,8.78,10,"12km N of McCloud, California",
nc,nc72220511,,05/12/2014 10:39:32 AM,0.2,1.8,4,"9km WNW of Cobb, California",
nc,nc72220516,,05/12/2014 11:05:33 AM,0.3,2.2,6,"11km WNW of The Geysers, California",
nc,nc72220521,,05/12/2014 11:09:56 AM,0.4,2.6,14,"9km NW of The Geysers, California",
nc,nc72220526,,05/12/2014 11:19:23 AM,0.9,2.8,16,"7km W of Cobb, California",
nc,nc72220531,,05/12/2014 11:28:43 AM,0.4,1.9,20,"5km E of Mammoth Lakes, California",
nc,nc72220551,,05/13/2014 01:32:53 AM,1.2,1,17,"3km W of Cobb, California",
nc,nc72220556,,05/13/2014 01:33:50 AM,0.5,3.1,7,"5km W of Cobb, California",
nc,nc72220566,,05/13/2014 02:23:29 AM,0.6,5.3,16,"12km E of Mammoth Lakes, California",
nc,nc72220591,,05/13/2014 03:33:57 AM,1.3,5.2,34,"11km SSW of Lake Nacimiento, California",
nc,nc72220596,,05/13/2014 03:43:03 AM,0.3,7.8,15,"2km ESE of Mammoth Lakes, California",
nc,nc72220601,,05/13/2014 03:43:06 AM,1.16,7.17,22,"2km ESE of Mammoth Lakes, California",
nc,nc72220616,,05/13/2014 04:01:33 AM,1.1,9.1,9,"20km SSE of Ridgemark, California",
nc,nc72220621,,05/13/2014 04:28:24 AM,1.3,2.4,8,"21km NE of Soledad, California",
nc,nc72220631,,05/13/2014 05:08:14 AM,1.3,5.2,16,"21km NE of Soledad, California",
nc,nc72220636,,05/13/2014 05:29:11 AM,0.5,7,23,"19km SE of Mammoth Lakes, California",
nc,nc72220666,,05/13/2014 07:08:21 AM,1.3,4.9,9,"25km ENE of Greenfield, California",
nc,nc72220671,,05/13/2014 07:07:15 AM,0.2,7.5,13,"2km E of Mammoth Lakes, California",
nc,nc72220696,,05/13/2014 08:04:40 AM,0.8,2.6,14,"6km W of Cobb, California",
nc,nc72220726,,05/13/2014 08:54:59 AM,2.1,11.6,22,"27km SE of Burney, California",
nc,nc72220731,,05/13/2014 08:57:17 AM,1.9,3.9,76,"6km W of Cobb, California",
nc,nc72220736,,05/13/2014 09:02:46 AM,1,3.1,16,"6km W of Cobb, California",
nc,nc72220786,,05/13/2014 11:20:59 AM,0.79,7.05,13,"21km S of Mammoth Lakes, California",
nc,nc72220821,,05/13/2014 02:02:29 AM,0.55,4.19,9,"6km WNW of The Geysers, California",
nc,nc72220871,,05/13/2014 02:24:28 AM,0.8,3.8,11,"6km NW of The Geysers, California",
nc,nc72220891,,05/13/2014 02:29:07 AM,0.6,3.1,6,"6km WNW of Cobb, California",
nc,nc72220931,,05/13/2014 02:40:37 AM,1.21,17.45,20,"34km WSW of Mammoth Lakes, California",
nc,nc72220946,,05/13/2014 02:51:15 AM,0.9,7.4,7,"33km ENE of Oakhurst, California",
nc,nc72220971,,05/13/2014 03:11:31 AM,1.4,3.4,49,"5km NW of The Geysers, California",
nc,nc72220976,,05/13/2014 03:11:48 AM,0.8,3,11,"5km NW of The Geysers, California",
nc,nc72221006,,05/13/2014 03:37:24 AM,0.5,3,9,"6km NW of The Geysers, California",
nc,nc72221011,,05/13/2014 03:50:57 AM,0.4,2.2,18,"1km N of The Geysers, California",
nc,nc72221021,,05/13/2014 04:04:49 AM,0.9,3.1,15,"6km NW of The Geysers, California",
nc,nc72221026,,05/13/2014 04:05:33 AM,0.4,2.9,10,"6km NW of The Geysers, California",
nc,nc72221031,,05/13/2014 04:09:13 AM,0.9,3.1,13,"7km NW of The Geysers, California",
nc,nc72221041,,05/13/2014 04:33:14 AM,0.18,3.03,8,"6km NW of The Geysers, California",
nc,nc72221051,,05/13/2014 04:51:21 AM,0.9,2.6,10,"9km WNW of Cobb, California",
nc,nc72221056,,05/13/2014 05:20:08 AM,0.2,2.9,22,"6km WNW of Cobb, California",
nc,nc72221066,,05/12/2014 07:40:20 AM,1.2,0.1,10,"6km SSW of Chester, California",
nc,nc72221086,,05/13/2014 07:25:43 AM,1.9,18.9,19,"4km N of Hydesville, California",
nc,nc72221091,,05/13/2014 07:33:17 AM,0.9,2.3,18,"5km W of Cobb, California",
nc,nc72221101,,05/13/2014 07:46:08 AM,1.82,2.42,47,"6km WNW of The Geysers, California",
nc,nc72221111,,05/13/2014 07:51:48 AM,0.6,2.3,12,"7km WNW of The Geysers, California",
nc,nc72221116,,05/13/2014 07:59:52 AM,0.82,2.85,15,"8km NW of The Geysers, California",
nc,nc72221121,,05/13/2014 08:08:06 AM,1.5,3.4,47,"5km NW of The Geysers, California",
nc,nc72221136,,05/13/2014 09:01:17 AM,1.83,2.44,53,"5km NW of The Geysers, California",
nc,nc72221141,,05/13/2014 09:01:51 AM,0.9,2.7,18,"6km NW of The Geysers, California",
nc,nc72221151,,05/13/2014 09:03:31 AM,0.8,2.7,13,"5km NW of The Geysers, California",
nc,nc72221161,,05/13/2014 09:04:50 AM,1.1,2.5,17,"5km NW of The Geysers, California",
nc,nc72221166,,05/13/2014 09:14:50 AM,0.7,5.2,15,"8km ENE of Mammoth Lakes, California",
nc,nc72221171,,05/13/2014 09:16:27 AM,0.4,1.5,17,"3km SE of The Geysers, California",
nc,nc72221181,,05/13/2014 09:20:00 AM,0.8,5.1,18,"15km S of Lake Nacimiento, California",
nc,nc72221191,,05/13/2014 09:57:11 AM,0.93,2.51,17,"5km WNW of Cobb, California",
nc,nc72221201,,05/13/2014 10:35:02 AM,1.1,2,38,"4km ESE of The Geysers, California",
nc,nc72221206,,05/13/2014 11:08:04 AM,0.3,2.98,10,"7km NW of The Geysers, California",
nc,nc72221221,,05/13/2014 11:54:12 AM,1,3.2,10,"7km WNW of The Geysers, California",
nc,nc72221256,,05/14/2014 02:37:15 AM,1.5,8.7,34,"6km E of Santa Rosa, California",
nc,nc72221276,,05/14/2014 03:42:15 AM,1.1,2.6,42,"9km WNW of Cobb, California",
nc,nc72221281,,05/14/2014 03:42:33 AM,1,2.7,18,"9km WNW of Cobb, California",
nc,nc72221291,,05/14/2014 04:10:52 AM,0.86,2.29,7,"2km E of The Geysers, California",
nc,nc72221301,,05/14/2014 04:49:37 AM,1.2,3.7,7,"6km SSE of Chester, California",
nc,nc72221361,,05/14/2014 07:12:53 AM,1.7,2.6,55,"2km ENE of The Geysers, California",
nc,nc72221371,,05/14/2014 07:19:09 AM,0.4,3,8,"8km W of Cobb, California",
nc,nc72221391,,05/14/2014 07:48:16 AM,0.6,0.7,10,"2km N of The Geysers, California",
nc,nc72221416,,05/14/2014 09:00:58 AM,0.4,6.5,13,"4km ENE of Berkeley, California",
nc,nc72221451,,05/14/2014 10:13:12 AM,0.55,3.23,12,"6km NW of The Geysers, California",
nc,nc72221461,,05/14/2014 10:15:42 AM,0.6,7,23,"13km SE of Mammoth Lakes, California",
nc,nc72221616,,05/14/2014 11:54:19 AM,0.5,2.6,9,"6km WNW of Cobb, California",
nc,nc72221636,,05/14/2014 12:25:16 PM,0.3,3.1,7,"3km SE of The Geysers, California",
nc,nc72221666,,05/14/2014 01:39:43 AM,0.4,7.9,22,"2km SE of Mammoth Lakes, California",
nc,nc72221671,,05/14/2014 01:41:39 AM,1.4,2.5,25,"1km SW of Cobb, California",
nc,nc72221681,,05/14/2014 01:40:51 AM,0.7,3.3,9,"1km SW of Cobb, California",
nc,nc72221686,,05/14/2014 01:42:21 AM,1.1,2.76,19,"1km SW of Cobb, California",
nc,nc72221701,,05/14/2014 02:04:51 AM,0.8,5.5,18,"26km SE of Mammoth Lakes, California",
nc,nc72221706,,05/14/2014 02:21:00 AM,0.42,8.41,16,"5km ESE of Mammoth Lakes, California",
nc,nc72221711,,05/14/2014 02:27:13 AM,0.3,8.6,11,"5km E of Mammoth Lakes, California",
nc,nc72221726,,05/14/2014 02:44:24 AM,0.3,8.6,15,"5km ESE of Mammoth Lakes, California",
nc,nc72221731,,05/14/2014 02:50:28 AM,0.4,2.3,8,"1km ENE of The Geysers, California",
nc,nc72221736,,05/14/2014 02:59:28 AM,0.6,2.9,17,"12km ENE of Mammoth Lakes, California",
nc,nc72221741,,05/14/2014 03:03:03 AM,0.4,2.4,7,"7km WNW of Cobb, California",
nc,nc72221761,,05/14/2014 03:22:18 AM,1.19,3.44,28,"6km NW of The Geysers, California",
nc,nc72221796,,05/14/2014 04:09:04 AM,0.6,1.5,8,"2km ESE of The Geysers, California",
nc,nc72221801,,05/14/2014 04:10:42 AM,1.12,1.81,20,"2km SSW of Cobb, California",
nc,nc72221821,,05/14/2014 05:40:42 AM,1.4,2.5,23,"1km NNW of The Geysers, California",
nc,nc72221826,,05/14/2014 05:54:15 AM,1.2,3.1,14,"24km WSW of Coalinga, California",
nc,nc72221881,,05/14/2014 08:18:09 AM,1,2.8,16,"6km NW of The Geysers, California",
nc,nc72221896,,05/14/2014 08:37:35 AM,0.1,4.7,10,"12km SE of Mammoth Lakes, California",
nc,nc72221901,,05/14/2014 08:54:54 AM,1.8,5,4,"16km WSW of Cotati, California",
nc,nc72221906,,05/14/2014 08:56:11 AM,0.55,3.79,13,"6km NW of The Geysers, California",
nc,nc72221911,,05/14/2014 08:56:35 AM,0.63,3.35,8,"6km NW of The Geysers, California",
nc,nc72221916,,05/14/2014 08:57:32 AM,0.8,2.4,15,"5km WNW of Cobb, California",
nc,nc72221921,,05/14/2014 09:04:34 AM,0.9,2.3,9,"4km SE of The Geysers, California",
nc,nc72221931,,05/14/2014 09:32:13 AM,1.2,5.1,11,"4km SSW of Gilroy, California",
nc,nc72221936,,05/14/2014 09:43:34 AM,1.12,2.72,22,"9km WNW of Cobb, California",
nc,nc72221946,,05/14/2014 09:55:56 AM,0.7,2.6,15,"7km WNW of The Geysers, California",
nc,nc72221951,,05/14/2014 09:58:26 AM,0.6,7.4,12,"18km SE of Mammoth Lakes, California",
nc,nc72221971,,05/14/2014 11:10:00 AM,1.2,2.7,23,"1km SW of Cobb, California",
nc,nc72221976,,05/14/2014 11:11:07 AM,1.6,5,6,"12km SE of Chester, California",
nc,nc72221981,,05/14/2014 11:13:59 AM,1.6,19.8,18,"2km E of San Ramon, California",
nc,nc72222001,,05/15/2014 12:30:32 PM,1,3.9,19,"21km SSE of Mammoth Lakes, California",
nm,nm042214a,,04/22/2014 06:14:19 AM,1.9,2.2,8,"9km SSE of Clinton, Arkansas",
nm,nm042514a,,04/25/2014 01:46:41 AM,2,9.7,18,"4km E of Steele, Missouri",
nm,nm042514b,,04/24/2014 10:19:14 AM,1.7,11.6,19,"9km N of New Madrid, Missouri",
nm,nm042814a,,04/28/2014 11:52:20 AM,2.1,8.7,9,"25km NW of Greenbrier, Arkansas",
nm,nm042814b,,04/27/2014 07:10:33 AM,1.8,2.2,7,"14km SSE of Clinton, Arkansas",
nm,nm042814c,,04/27/2014 07:37:54 AM,1.9,8.4,10,"26km NNE of Morrilton, Arkansas",
nm,nm042914a,,04/29/2014 01:56:13 AM,2.4,5.9,11,"26km NNE of Morrilton, Arkansas",
nm,nm042914b,,04/29/2014 03:21:25 AM,2.1,8.3,5,"9km SW of Hoxie, Arkansas",
nm,nm043014a,,04/30/2014 02:23:41 AM,1.6,2.2,5,"12km SSE of Clinton, Arkansas",
nm,nm050414a,,05/04/2014 02:10:36 AM,2.2,4.4,11,"14km SSW of Fairfield Bay, Arkansas",
nm,nm050514a,,05/05/2014 05:36:59 AM,1.9,2.4,10,"9km SSE of Clinton, Arkansas",
nm,nm050514b,,05/05/2014 03:33:20 AM,1.2,7.6,14,"1km NNE of Ridgely, Tennessee",
nm,nm050914a,,05/09/2014 02:59:14 AM,1.7,6.8,14,"3km SSE of Lilbourn, Missouri",
nm,nm050914b,,05/02/2014 01:58:19 AM,1.2,8.6,17,"11km NW of Tiptonville, Tennessee",
nm,nm051114a,,05/11/2014 07:40:57 AM,2.1,9.4,28,"5km NW of Ridgely, Tennessee",
nm,nm051214a,,05/11/2014 01:02:23 AM,1.1,8.6,12,"5km NW of Ridgely, Tennessee",
nm,nm051314a,,05/13/2014 10:38:06 AM,2.2,6.8,12,"27km NNE of Morrilton, Arkansas",
nm,nm60070366,,04/30/2014 06:52:16 AM,2,22.4,,"10km W of Hickman, Kentucky",
nm,nm60070466,,05/07/2014 03:56:47 AM,2.4,4.5,31,"11km SSE of Caruthersville, Missouri",
nn,nn00444424,,04/22/2014 12:16:15 PM,0.58,10.8174,17,"5km NE of Truckee, California",
nn,nn00444428,,04/22/2014 03:04:46 AM,1.99,0,7,"71km N of Tonopah, Nevada",
nn,nn00444465,,04/22/2014 07:13:38 AM,2.02,8,6,"75km E of Gabbs, Nevada",
nn,nn00444518,,04/23/2014 07:41:23 AM,1.7,9.9196,33,"5km NNE of Lemmon Valley, Nevada",
nn,nn00444519,,04/23/2014 08:26:34 AM,1.89,7.6982,7,"46km S of Gabbs, Nevada",
nn,nn00444520,,04/23/2014 09:18:07 AM,1.05,5.7074,11,"15km ENE of Hawthorne, Nevada",
nn,nn00444521,,04/23/2014 09:22:00 AM,0.92,6.9334,9,"15km ENE of Hawthorne, Nevada",
nn,nn00444581,,04/22/2014 10:18:18 AM,1.29,0,5,"25km WSW of Alamo, Nevada",
nn,nn00444585,,04/23/2014 09:07:24 AM,0.46,6.2526,5,"16km ENE of Hawthorne, Nevada",
nn,nn00444643,,04/24/2014 06:15:46 AM,2.03,0,5,"29km SE of Alamo, Nevada",
nn,nn00444644,,04/24/2014 08:01:19 AM,0.57,11.5906,14,"18km NW of Truckee, California",
nn,nn00444656,,04/23/2014 11:44:01 AM,0.6,7.2814,5,"30km SSW of Hawthorne, Nevada",
nn,nn00444708,,04/23/2014 01:13:32 AM,0.9,12.5729,11,"37km SSE of Goldfield, Nevada",
nn,nn00444714,,04/23/2014 03:33:47 AM,0.03,15.7775,5,"49km N of Spanish Springs, Nevada",
nn,nn00444715,,04/23/2014 07:42:07 AM,0.72,3.6645,4,"8km NNE of Lemmon Valley, Nevada",
nn,nn00444720,,04/23/2014 08:22:00 AM,0.09,8.8787,3,"6km NNE of Lemmon Valley, Nevada",
nn,nn00444723,,04/24/2014 10:35:17 AM,0.42,4.6844,6,"16km ENE of Hawthorne, Nevada",
nn,nn00444724,,04/23/2014 09:18:59 AM,0.94,5.2016,7,"16km ENE of Hawthorne, Nevada",
nn,nn00444735,,04/23/2014 12:18:28 PM,0.05,9.3213,3,"21km NNW of Fernley, Nevada",
nn,nn00444736,,04/23/2014 12:19:10 PM,0.61,10.5752,6,"20km NNW of Fernley, Nevada",
nn,nn00444753,,04/25/2014 02:40:27 AM,1.59,0,4,"52km ESE of Lovelock, Nevada",
nn,nn00444783,,04/24/2014 07:23:24 AM,0.83,3.4558,6,"32km S of Gardnerville Ranchos, Nevada",
nn,nn00444787,,04/24/2014 09:00:28 AM,0.34,15.299,5,"27km W of Gerlach-Empire, Nevada",
nn,nn00444800,,04/24/2014 03:34:47 AM,0.58,8.1006,7,"58km S of Goldfield, Nevada",
nn,nn00444810,,04/24/2014 07:24:23 AM,0.67,14.1633,4,"2km NE of Spanish Springs, Nevada",
nn,nn00444818,,04/26/2014 12:12:09 PM,3.82,7.8332,17,"16km ENE of Hawthorne, Nevada",
nn,nn00444820,,04/26/2014 12:19:01 PM,0.27,9.1521,5,"14km ENE of Hawthorne, Nevada",
nn,nn00444821,,04/26/2014 12:25:30 PM,1.84,8.9453,12,"17km ENE of Hawthorne, Nevada",
nn,nn00444822,,04/26/2014 12:27:27 PM,1.13,6.8658,9,"16km ENE of Hawthorne, Nevada",
nn,nn00444824,,04/26/2014 12:34:07 PM,0.64,7.3288,8,"16km ENE of Hawthorne, Nevada",
nn,nn00444826,,04/26/2014 12:37:57 PM,0.96,7.7913,7,"15km ENE of Hawthorne, Nevada",
nn,nn00444827,,04/26/2014 12:40:41 PM,1.08,7.0106,9,"16km ENE of Hawthorne, Nevada",
nn,nn00444828,,04/26/2014 12:43:04 PM,0.71,6.3172,7,"17km ENE of Hawthorne, Nevada",
nn,nn00444830,,04/26/2014 12:48:01 PM,0.95,7.2562,11,"16km ENE of Hawthorne, Nevada",
nn,nn00444834,,04/26/2014 01:01:20 AM,0.87,6.8634,6,"16km ENE of Hawthorne, Nevada",
nn,nn00444835,,04/26/2014 01:03:13 AM,1.31,7.1838,11,"17km ENE of Hawthorne, Nevada",
nn,nn00444836,,04/26/2014 01:11:22 AM,1.67,8.9164,14,"16km ENE of Hawthorne, Nevada",
nn,nn00444837,,04/26/2014 01:24:16 AM,1.13,6.4572,9,"16km ENE of Hawthorne, Nevada",
nn,nn00444838,,04/26/2014 01:31:45 AM,1.36,8.2397,9,"16km ENE of Hawthorne, Nevada",
nn,nn00444842,,04/26/2014 01:36:06 AM,1.38,7.0239,9,"17km ENE of Hawthorne, Nevada",
nn,nn00444846,,04/26/2014 02:00:35 AM,0.94,7.5612,7,"16km ENE of Hawthorne, Nevada",
nn,nn00444855,,04/26/2014 02:45:18 AM,1.2,7.6618,12,"17km ENE of Hawthorne, Nevada",
nn,nn00444866,,04/26/2014 04:07:27 AM,1.96,8.542,12,"16km ENE of Hawthorne, Nevada",
nn,nn00444867,,04/26/2014 04:10:30 AM,1.67,4,4,"38km W of Austin, Nevada",
nn,nn00444868,,04/26/2014 04:23:01 AM,1.38,6.6252,12,"17km ENE of Hawthorne, Nevada",
nn,nn00444869,,04/26/2014 04:32:59 AM,1.41,7.7362,11,"16km ENE of Hawthorne, Nevada",
nn,nn00444872,,04/26/2014 04:47:24 AM,1.52,7.3112,10,"16km ENE of Hawthorne, Nevada",
nn,nn00444882,,04/26/2014 05:59:30 AM,1.38,7.5386,10,"16km ENE of Hawthorne, Nevada",
nn,nn00444885,,04/26/2014 06:17:31 AM,0.39,5.686,5,"16km ENE of Hawthorne, Nevada",
nn,nn00444895,,04/26/2014 07:55:03 AM,1.25,1.5908,5,"27km SSW of Alamo, Nevada",
nn,nn00444896,,04/26/2014 08:12:53 AM,1.15,7.2702,9,"16km ENE of Hawthorne, Nevada",
nn,nn00444898,,04/26/2014 08:32:25 AM,1.34,7.2442,9,"17km ENE of Hawthorne, Nevada",
nn,nn00444901,,04/26/2014 09:02:45 AM,1.35,8,4,"17km ENE of Hawthorne, Nevada",
nn,nn00444903,,04/26/2014 09:07:44 AM,1.69,6.7016,11,"17km ENE of Hawthorne, Nevada",
nn,nn00444909,,04/26/2014 11:11:05 AM,1.04,7.3608,8,"16km ENE of Hawthorne, Nevada",
nn,nn00444910,,04/26/2014 11:22:43 AM,1.07,7.8132,9,"16km ENE of Hawthorne, Nevada",
nn,nn00444912,,04/26/2014 12:06:34 PM,1.4,7.6584,10,"17km ENE of Hawthorne, Nevada",
nn,nn00444918,,04/26/2014 01:59:46 AM,1.09,7.7485,8,"16km ENE of Hawthorne, Nevada",
nn,nn00444926,,04/26/2014 04:42:42 AM,1.05,7.4941,8,"16km ENE of Hawthorne, Nevada",
